<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	09:44:00	1.20943	1.20964	1.20921	1.20943	284	0	0
2020.12.10	09:48:00	1.20944	1.20947	1.20910	1.20918	218	0	0
2020.12.10	09:52:00	1.20918	1.20937	1.20898	1.20898	284	0	0
2020.12.10	09:56:00	1.20898	1.20932	1.20892	1.20903	328	0	0
2020.12.10	10:00:00	1.20903	1.20910	1.20858	1.20871	516	0	0
2020.12.10	10:04:00	1.20871	1.20924	1.20861	1.20923	375	0	0
2020.12.10	10:08:00	1.20923	1.20955	1.20922	1.20954	368	0	0
2020.12.10	10:12:00	1.20954	1.20959	1.20909	1.20914	355	0	0
2020.12.10	10:16:00	1.20914	1.20940	1.20898	1.20910	333	0	0
2020.12.10	10:20:00	1.20910	1.20922	1.20891	1.20910	352	0	0
2020.12.10	10:24:00	1.20912	1.20952	1.20908	1.20932	318	0	0
2020.12.10	10:28:00	1.20932	1.20974	1.20924	1.20974	317	0	0
2020.12.10	10:32:00	1.20976	1.20994	1.20958	1.20980	377	0	0
2020.12.10	10:36:00	1.20979	1.20994	1.20938	1.20944	244	0	0
2020.12.10	10:40:00	1.20944	1.20948	1.20896	1.20904	357	0	0
2020.12.10	10:44:00	1.20904	1.20933	1.20898	1.20902	355	0	0
2020.12.10	10:48:00	1.20902	1.20943	1.20883	1.20933	393	0	0
2020.12.10	10:52:00	1.20933	1.20936	1.20906	1.20916	358	0	0
2020.12.10	10:56:00	1.20916	1.20926	1.20891	1.20908	347	0	0
2020.12.10	11:00:00	1.20908	1.20908	1.20854	1.20856	386	0	0
2020.12.10	11:04:00	1.20856	1.20885	1.20849	1.20877	501	0	0
2020.12.10	11:08:00	1.20877	1.20882	1.20834	1.20864	271	0	0
2020.12.10	11:12:00	1.20864	1.20880	1.20851	1.20864	318	0	0
2020.12.10	11:16:00	1.20864	1.20933	1.20860	1.20928	295	0	0
2020.12.10	11:20:00	1.20928	1.20956	1.20920	1.20944	316	0	0
2020.12.10	11:24:00	1.20944	1.20967	1.20931	1.20958	279	0	0
2020.12.10	11:28:00	1.20958	1.21042	1.20958	1.21040	392	0	0
2020.12.10	11:32:00	1.21040	1.21085	1.21009	1.21068	375	0	0
2020.12.10	11:36:00	1.21068	1.21083	1.21036	1.21036	406	0	0
2020.12.10	11:40:00	1.21036	1.21055	1.21030	1.21053	377	0	0
2020.12.10	11:44:00	1.21053	1.21087	1.21051	1.21084	281	0	0
2020.12.10	11:48:00	1.21084	1.21084	1.21048	1.21082	349	0	0
2020.12.10	11:52:00	1.21082	1.21083	1.21045	1.21054	277	0	0
2020.12.10	11:56:00	1.21054	1.21065	1.21027	1.21062	286	0	0
2020.12.10	12:00:00	1.21062	1.21062	1.21028	1.21054	295	0	0
2020.12.10	12:04:00	1.21054	1.21071	1.21034	1.21053	257	0	0
2020.12.10	12:08:00	1.21053	1.21072	1.21036	1.21056	273	0	0
2020.12.10	12:12:00	1.21056	1.21086	1.21053	1.21070	324	0	0
2020.12.10	12:16:00	1.21070	1.21075	1.21046	1.21060	232	0	0
2020.12.10	12:20:00	1.21060	1.21069	1.21039	1.21054	212	0	0
2020.12.10	12:24:00	1.21054	1.21062	1.21030	1.21054	196	0	0
2020.12.10	12:28:00	1.21054	1.21054	1.21040	1.21047	150	0	0
2020.12.10	12:32:00	1.21047	1.21068	1.21023	1.21033	236	0	0
2020.12.10	12:36:00	1.21033	1.21040	1.21008	1.21017	189	0	0
2020.12.10	12:40:00	1.21017	1.21020	1.20994	1.20994	192	0	0
2020.12.10	12:44:00	1.20994	1.21007	1.20981	1.20998	171	0	0
2020.12.10	12:48:00	1.20998	1.21031	1.20994	1.21011	223	0	0
2020.12.10	12:52:00	1.21011	1.21014	1.20984	1.20992	224	0	0
2020.12.10	12:56:00	1.20992	1.21000	1.20968	1.20970	244	0	0
2020.12.10	13:00:00	1.20970	1.20990	1.20950	1.20952	244	0	0
